"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","289","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithZeroPageCount","Verify book record cannot be created with zero page count",""
"passed","Thu Mar 27 21:18:45 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","852","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCanBeGotten","Verify book record can be gotten",""
"failed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:45 UTC 2025","294","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeUpdatedWithZeroId","Verify that an author record cannot be updated with a zero ID",""
"passed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:47 UTC 2025","289","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeGottenForNegativeId","Verify that a book record cannot be retrieved using a negative ID (-1)",""
"failed","Thu Mar 27 21:18:47 UTC 2025","Thu Mar 27 21:18:47 UTC 2025","288","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithNegativeID","Verify book record cannot be updated with a negative ID",""
"failed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:47 UTC 2025","1087","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeDeletedIfAlreadyDeleted","Verify book record cannot be deleted if already deleted",""
"passed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:46 UTC 2025","288","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithInvalidPublishDate","Verify book record cannot be created with an invalid publish date",""
"failed","Thu Mar 27 21:18:47 UTC 2025","Thu Mar 27 21:18:48 UTC 2025","758","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeUpdatedWithNegativePageCount","Verify book record cannot be updated with a negative page count",""
"passed","Thu Mar 27 21:18:46 UTC 2025","Thu Mar 27 21:18:47 UTC 2025","317","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeGottenForMaxIntId","Verify that a book record cannot be retrieved using the maximum integer value as an ID",""
"failed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:45 UTC 2025","1024","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeDeletedIfAlreadyDeleted","Verify that an author record cannot be deleted if already deleted",""
"failed","Thu Mar 27 21:18:45 UTC 2025","Thu Mar 27 21:18:45 UTC 2025","300","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorsBooksRecordCanNotBeGottenWithNegativeBookId","Verify authors books record cannot be gotten for negative book ID",""
"failed","Thu Mar 27 21:18:39 UTC 2025","Thu Mar 27 21:18:43 UTC 2025","3465","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeCreatedWithAllNullFields","Verify that an author record cannot be created with all null fields",""
"failed","Thu Mar 27 21:18:44 UTC 2025","Thu Mar 27 21:18:45 UTC 2025","718","Surefire suite","Surefire test","testng.api.tests.AuthorsControllerTests","testng.api.tests.AuthorsControllerTests","verifyAuthorRecordCannotBeUpdatedWithZeroBookId","Verify that an author record cannot be updated with a zero book ID",""
"passed","Thu Mar 27 21:18:47 UTC 2025","Thu Mar 27 21:18:47 UTC 2025","280","Surefire suite","Surefire test","testng.api.tests.BooksControllerTests","testng.api.tests.BooksControllerTests","verifyBookRecordCannotBeCreatedWithInvalidPublishDate","Verify book record cannot be created with an invalid publish date",""
